Model,Best params,CV F1 (mean),Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Tuning time (s)
Logistic Regression,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7822987940816433,0.7366926898509581,0.5025466893039049,0.7914438502673797,0.6147455867082036,0.8394171898008215,0.18469810485839844
SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.8378147159241512,0.759403832505323,0.5366876310272537,0.6844919786096256,0.6016451233842538,0.8089953240848382,14.115243911743164
Gradient Boosting,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300}",0.8586626670268325,0.7714691270404542,0.5673575129533679,0.5855614973262032,0.5763157894736842,0.8196336769226795,39.26258587837219
