Algorithm,Clusters,Silhouette ↑,Davies-Bouldin ↓,Calinski-Harabasz ↑
KMeans,5,0.5546571631111091,0.5722356162263352,248.64932001536357
Agglomerative,5,0.5538089226688662,0.5778621190740154,244.41032586596822
DBSCAN,2,0.3875583892728279,0.7888642629621753,85.38970641481356
Gaussian Mixture,5,0.5536892843811245,0.5760100302410824,244.9401969858632
